"Label (Grouping)","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error"
"Total:","3,416,449","±5,011"
"    Less than $10,000","179,099","±3,553"
"    $10,000 to $14,999","123,891","±3,020"
"    $15,000 to $19,999","90,748","±2,878"
"    $20,000 to $24,999","103,537","±3,117"
"    $25,000 to $29,999","99,758","±2,356"
"    $30,000 to $34,999","100,144","±2,175"
"    $35,000 to $39,999","98,445","±2,222"
"    $40,000 to $44,999","101,479","±2,662"
"    $45,000 to $49,999","96,726","±2,367"
"    $50,000 to $59,999","185,039","±3,253"
"    $60,000 to $74,999","280,702","±4,363"
"    $75,000 to $99,999","405,321","±5,444"
"    $100,000 to $124,999","339,997","±5,276"
"    $125,000 to $149,999","255,801","±3,681"
"    $150,000 to $199,999","358,426","±4,359"
"    $200,000 or more","597,336","±6,001"
