"Label (Grouping)","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error"
"Total:","9,656,697","±2,954"
"    Income in the past 12 months below poverty level:","1,326,437","±17,434"
"        Male:","601,720","±9,641"
"            Under 5 years","42,097","±1,876"
"            5 years","8,937","±751"
"            6 to 11 years","61,034","±2,107"
"            12 to 14 years","32,348","±1,617"
"            15 years","12,178","±890"
"            16 and 17 years","22,008","±1,119"
"            18 to 24 years","64,694","±2,491"
"            25 to 34 years","72,837","±2,538"
"            35 to 44 years","72,504","±2,116"
"            45 to 54 years","65,048","±2,291"
"            55 to 64 years","65,488","±2,019"
"            65 to 74 years","51,407","±1,723"
"            75 years and over","31,140","±1,418"
"        Female:","724,717","±9,337"
"            Under 5 years","40,356","±2,042"
"            5 years","9,248","±862"
"            6 to 11 years","57,904","±2,190"
"            12 to 14 years","31,649","±1,620"
"            15 years","11,660","±830"
"            16 and 17 years","20,866","±1,250"
"            18 to 24 years","75,890","±2,177"
"            25 to 34 years","99,472","±2,332"
"            35 to 44 years","95,947","±2,289"
"            45 to 54 years","77,397","±2,410"
"            55 to 64 years","74,712","±2,476"
"            65 to 74 years","65,838","±1,997"
"            75 years and over","63,778","±1,777"
"    Income in the past 12 months at or above poverty level:","8,330,260","±17,875"
"        Male:","4,178,007","±9,875"
"            Under 5 years","208,700","±1,976"
"            5 years","42,518","±1,780"
"            6 to 11 years","278,068","±3,305"
"            12 to 14 years","157,420","±2,862"
"            15 years","50,584","±1,619"
"            16 and 17 years","102,417","±2,081"
"            18 to 24 years","348,342","±2,705"
"            25 to 34 years","699,578","±2,622"
"            35 to 44 years","629,207","±2,170"
"            45 to 54 years","573,059","±2,248"
"            55 to 64 years","526,446","±2,076"
"            65 to 74 years","347,256","±1,867"
"            75 years and over","214,412","±1,585"
"        Female:","4,152,253","±9,683"
"            Under 5 years","199,945","±2,060"
"            5 years","40,573","±1,614"
"            6 to 11 years","267,429","±3,296"
"            12 to 14 years","143,010","±2,512"
"            15 years","48,788","±1,420"
"            16 and 17 years","97,097","±1,900"
"            18 to 24 years","323,156","±2,228"
"            25 to 34 years","661,626","±2,308"
"            35 to 44 years","583,859","±2,289"
"            45 to 54 years","564,201","±2,448"
"            55 to 64 years","538,361","±2,460"
"            65 to 74 years","396,404","±2,074"
"            75 years and over","287,804","±1,819"
