Variable Abbreviation Descriptions,Column Names,
“Sq Footage Abbreviations”,MLS,
A -- Appraiser or Assessor,Prop Subtype,
B -- Builder,St #,
E -- Estimated,Address,
"O -- Owner (or OTH which is ""other"" just means some undefined document that claims the sq footage)",City,
P - Public Record,Zip,
S -- Seller,BR,
OLP - Original list price - LP List Price to determine if there is any price gouging.,Baths(FTHQ),
Sub Type,Other Deposit,
A -- Attached,Pet Deposit,
D -- Detached,Key Deposit,
,OLP,OLP - Original list price
“Beds/Baths”,Security Deposit,
"2 (beds) / 1 (total baths),1 (full baths) ,0 (half bath), 0 (three quarter bath)",LP,LP List Price to determine if there is any price gouging.
,SqFt,
,LP $/SqFt,
,YB,
,# Prking Spaces,
,Laundry,
,Pets,
,Lease Terms,
,Furnished,
,Seller's Agent 1 Cell,
,Lot Sz,
